0 0
1000 0.00164537
2000 0.00626577
3000 0.01469
4000 0.026347
5000 0.041315
6000 0.058564
7000 0.076383
8000 0.101169
9000 0.126078
10000 0.157276
11000 0.192277
12000 0.22436
13000 0.272343
14000 0.302247
15000 0.346635
16000 0.402541
17000 0.443763
18000 0.504259
19000 0.555423
20000 0.618515
21000 0.691752
22000 0.764913
23000 0.830085
24000 0.903014
25000 0.967005
26000 1.0406
27000 1.12763
28000 1.20698
29000 1.32689
30000 1.39705
31000 1.48068
32000 1.57418
33000 1.68567
34000 1.83146
35000 1.90573
36000 2.01562
37000 2.12027
38000 2.23652
39000 2.36924
40000 2.46294
41000 2.60588
42000 2.71113
43000 2.86286
44000 3.00644
45000 3.11329
46000 3.28998
47000 3.39398
48000 3.54084
49000 3.71885
50000 3.84767
