0 1e-06
1000 0.002714
2000 0.011624
3000 0.022004
4000 0.041294
5000 0.07164
6000 0.100108
7000 0.146519
8000 0.190707
9000 0.245796
10000 0.312659
11000 0.4
12000 0.459946
13000 0.54453
14000 0.637892
15000 0.736922
16000 0.857408
17000 0.961651
18000 1.08019
19000 1.20715
20000 1.35951
21000 1.48573
22000 1.63629
23000 1.78352
24000 1.96165
25000 2.12075
26000 2.31585
27000 2.55387
28000 2.72385
29000 2.89796
30000 3.09335
31000 3.37427
32000 3.54639
33000 3.79333
34000 4.00272
35000 4.2516
36000 4.51395
37000 4.76626
38000 5.06201
39000 5.3203
40000 5.59172
41000 5.91184
42000 6.20174
43000 6.53822
44000 6.82488
45000 7.1453
46000 7.43479
47000 7.82619
48000 8.18814
49000 8.63491
50000 8.88576
