0 	  3e-09
1000 	  5.2269e-05
2000 	  0.000108667
3000 	  0.000198776
4000 	  0.000240318
5000 	  0.000329634
6000 	  0.00042865
7000 	  0.00043085
8000 	  0.000511647
9000 	  0.000601899
10000 	  0.000694385
11000  0.000852
12000  0.000924
13000  0.000857
14000  0.000952
15000  0.001029
16000  0.00123
17000  0.001373
18000  0.001341
19000  0.00159
20000  0.001731
21000  0.001851
22000  0.001925
23000  0.002129
24000  0.002079
25000  0.002315
26000  0.002027
27000  0.002232
28000  0.00222
29000  0.002403
30000  0.002237
31000  0.002372
32000  0.002522
33000  0.002574
34000  0.002819
35000  0.002846
36000  0.00278
37000  0.003122
38000  0.003094
39000  0.003173
40000  0.003368
41000  0.003404
42000  0.003508
43000  0.003802
44000  0.003759
45000  0.00402
46000  0.00421
47000  0.004406
48000  0.004353
49000  0.004385
50000  0.004513
